time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1727	1.32217	5.18351	0.20519	0.158633	radar	4.95744	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3983	1.40467	5.15251	0.226842	0.173878	lidar	1.37143	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6317	1.48304	5.06395	0.246429	0.1874	radar	4.21774	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8572	1.52088	5.03305	0.246525	0.177664	lidar	1.09619	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1224	1.57102	5.0747	0.248314	0.169287	radar	1.80059	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4007	1.62346	5.11405	0.249834	0.161317	lidar	1.82255	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6324	1.67906	5.06662	0.256157	0.16016	radar	0.856697	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8623	1.74707	5.04877	0.266539	0.162912	lidar	0.364601	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1182	1.83364	5.10494	0.28062	0.168406	radar	1.47146	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.36	1.86978	5.08928	0.274609	0.15273	lidar	0.533719	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6154	1.93103	5.13431	0.276679	0.145622	radar	0.923894	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8168	2.06172	5.09873	0.312768	0.177426	lidar	3.55939	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0834	2.16601	5.18979	0.327613	0.181913	radar	3.56244	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
